BATCH,ACADEMIC YEAR,REGULATION,DEPARTMENT,SEM,COURSE CODE,COURSE NAME,CREDITS
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,IP3151,Induction Programme,0.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,HS3151,Professional English - I,4.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,MA3151,Matrices and Calculus,4.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,PH3151,Engineering Physics,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,CY3151,Engineering Chemistry,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,GE3151,Problem Solving and Python Programming,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,GE3152,தமிழர்மரபு / Heritage of Tamils,1.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,GE3171,Problem Solving and Python Programming Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,BS3171,Physics and Chemistry Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,GE3172,English Laboratory,1.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,HS3251,Professional English - II,4.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,MA3251,Statistics and Numerical Methods,4.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,BM3251,Biosciences for Medical Engineering,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,BE3251,Basic Electrical and Electronics Engineering,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,BM3252,Medical Physics,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,GE3251,Engineering Graphics,4.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,GE3252,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,GE3271,Engineering Practices Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,BM3271,Biosciences Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,GE3272,Communication Laboratory / Foreign Language,2.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,MA3351,Transforms and Partial Differential Equations,4.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3353,Fundamentals of Electronic Devices and Circuits,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3301,Sensors and Measurements,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3352,Electric Circuit Analysis,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3351,Anatomy and Human Physiology,4.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,CS3391,Object Oriented Programming,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3361,Fundamentals of Electronic Devices and Circuits Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3311,Sensors and Measurements Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,CS3381,Object Oriented Programming Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,GE3361,Professional Development,1.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,MA3355,Random Processes and Linear Algebra,4.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3491,Biomedical Instrumentation,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3402,Analog and Digital Integrated Circuits,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3451,Bio Control Systems,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3401,Signal Processing,4.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,GE3451,Environmental Sciences and Sustainability,2.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3411,Biomedical Instrumentation Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3412,Analog and Digital Integrated Circuits Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,SB8021,Network Essentials,2.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,SB8026,Robotic Process Automation Development,2.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,SB8024,Block Chain Development,2.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,SB8025,Digital Marketing,2.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,BM3551,Embedded Systems and IoMT,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,BM3591,Diagnostic and Therapeutic Equipment,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,CBM351,Hospital Planning and Management,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,CBM355,Medical Imaging Systems,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,CBM339,Biomedical Optics and Biophotonics,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,MX3084,Disaster Risk Reduction and Management,0.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,SB3001,Project Based Experiential Learning Program,2.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,BM3562,Embedded systems and IOMT Laboratory,1.5
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,BM3561,Diagnostic and Therapeutic Equipment Laboratory,2.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,CS3491,Artificial Intelligence and Machine Learning,4.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,BM3651,Fundamentals of Healthcare Analytics,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,BM3652,Medical Image Processing,4.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,OEE351,Renewable Energy System,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,CBM337,Biomaterials,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,CBM340,Biometric Systems,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,MX3089,Industrial Safety,0.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,NM1001*,4G/5G Communication Networks,2.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,GE3791,Human Values and Ethics,2.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,GE3751,Principles of Management,3.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,OEI352,Introduction to Control Engineering,3.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,OBT356,Lifestyle Diseases,3.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,BM3711,Hospital Training,2.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,NM1048*,Qunatum Computing with black opal,0.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,8,BM3811,Project Work / Internship,10.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,IP3151,Induction Programme,0.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,HS3151,Professional English - I,4.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,MA3151,Matrices and Calculus,4.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,PH3151,Engineering Physics,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,CY3151,Engineering Chemistry,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,GE3151,Problem Solving and Python Programming,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,GE3152,தமிழர்மரபு / Heritage of Tamils,1.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,GE3171,Problem Solving and Python Programming Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,BS3171,Physics and Chemistry Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,GE3172,English Laboratory,1.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,HS3251,Professional English - II,4.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,MA3251,Statistics and Numerical Methods,4.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,PH3256,Physics for Information Science,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,BE3251,Basic Electrical and Electronics Engineering,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,GE3251,Engineering Graphics,4.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,CS3251,Programming in C,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,GE3252,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,GE3271,Engineering Practices Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,CS3271,Programming in C Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,GE3272,Communication Laboratory / Foreign Language,2.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,3,MA3354,Discrete Mathematics,4.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,3,CS3391,Object Oriented Programming,3.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,3,CS3352,Foundations of Data Science,3.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,3,CS3301,Data Structures,3.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,3,CS3351,Digital Principles and Computer Organization,4.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,3,CS3311,Data Structures Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,3,CS3381,Object Oriented Programming Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,3,CS3361,Data Science Laboratory,2.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,3,GE3361,Professional Development,1.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,CS3492,Database Management Systems,3.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,CS3491,Artificial Intelligence and Machine Learning,4.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,CS3452,Theory of Computation,3.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,CS3401,Algorithms,4.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,CS3451,Introduction to Operating Systems,3.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,GE3451,Environmental Sciences and Sustainability,2.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,CS3461,Operating Systems Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,CS3481,Database Management Systems Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,SB8021,Network Essentials,2.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,SB8024,Block Chain Development,2.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,SB8025,Digital Marketing,2.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,4,SB8023,"Foundations for Al, ML, FS",2.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,5,CS3591,Computer Networks,4.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,5,CS3501,Compiler Design,4.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,5,CB3491,Cryptography and Cyber Security,3.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,5,CS3551,Distributed Computing,3.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,5,CCW331,Business Analytics,3.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,5,CCS341,Data Warehousing,3.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,5,MX3084,Disaster Risk Reduction and Management,0.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,5,SB3001,Project Based Experiential Learning Program,2.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,5,SB8048,Introduction to ChatGPT and Building Applications using ChatGPT,2.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,6,CCS356,Object Oriented Software Engineering,4.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,6,CS3691,Embedded Systems and IoT,4.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,6,CCS354,Network Security,3.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,6,CCS352,Multimedia and Animation,3.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,6,CCS335,Cloud Computing,3.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,6,CCS358,Principles of Programming Languages,3.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,6,MX3089,Industrial Safety,0.0
2021 - 2025,2023 - 2024,2021,B.E. Computer Science and Engineering,6,SB8015,Cybersecurity Essentials,2.0
2021 - 2025,2024 - 2025,2021,B.E. Computer Science and Engineering,7,GE3791,Human Values and Ethics,2.0
2021 - 2025,2024 - 2025,2021,B.E. Computer Science and Engineering,7,GE3751,Principles of Management,3.0
2021 - 2025,2024 - 2025,2021,B.E. Computer Science and Engineering,7,AI3021,IT in Agricultural System,3.0
2021 - 2025,2024 - 2025,2021,B.E. Computer Science and Engineering,7,OME354,Applied Design Thinking,3.0
2021 - 2025,2024 - 2025,2021,B.E. Computer Science and Engineering,7,CS3711,Summer Internship,2.0
2021 - 2025,2024 - 2025,2021,B.E. Computer Science and Engineering,7,NM1005*,MERN stacked powered by MONGO DB,0.0
2021 - 2025,2024 - 2025,2021,B.E. Computer Science and Engineering,8,CS3811,Project Work/Internship,10.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,1,IP3151,Induction Programme,0.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,1,HS3151,Professional English - I,4.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,1,MA3151,Matrices and Calculus,4.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,1,PH3151,Engineering Physics,3.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,1,CY3151,Engineering Chemistry,3.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,1,GE3151,Problem Solving and Python Programming,3.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,1,GE3171,Problem Solving and Python Programming Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,1,BS3171,Physics and Chemistry Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,1,GE3172,English Laboratory,1.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,2,HS3251,Professional English - II,4.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,2,MA3251,Statistics and Numerical Methods,4.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,2,PH3254,Physics for Electronics Engineering,3.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,2,BE3254,Electrical and Instrumentation Engineering,3.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,2,GE3251,Engineering Graphics,4.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,2,EC3251,Circuit Analysis,4.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,2,GE3271,Engineering Practices Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,2,EC3271,Circuits Analysis Laboratory,1.0
2021 - 2025,2021 - 2022,2021,B.E. Electronics and Communication Engineering,2,GE3272,Communication Laboratory / Foreign Language,2.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,3,MA3355,Random Processes and Linear Algebra,4.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,3,EC3351,Control Systems,3.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,3,EC3352,Digital Systems Design,4.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,3,EC3353,Electronic Devices and Circuits,3.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,3,EC3354,Signals and Systems,4.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,3,CS3353,C Programming and Data Structures,3.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,3,EC3361,Electronic Devices and Circuits Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,3,CS3362,C Programming and Data Structures Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,3,GE3361,Professional Development,1.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,EC3401,Networks and Security,4.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,EC3452,Electromagnetic Fields,3.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,EC3451,Linear Integrated Circuits,3.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,EC3492,Digital Signal Processing,4.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,EC3491,Communication Systems,3.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,GE3451,Environmental Sciences and Sustainability,2.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,EC3461,Communication Systems Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,EC3462,Linear Integrated Circuits Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,SB8025,Digital Marketing,2.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,SB8021,Network Essentials,2.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,SB8024,Block Chain Development,2.0
2021 - 2025,2022 - 2023,2021,B.E. Electronics and Communication Engineering,4,SB8026,Robotic Process Automation Development,2.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,5,EC3501,Wireless Communication,4.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,5,EC3552,VLSI and Chip Design,3.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,5,EC3551,Transmission Lines and RF Systems,3.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,5,CEC365,Wireless Sensor Network Design,3.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,5,CEC345,Optical Communication & Networks,3.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,5,CEC352,Satellite Communication,3.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,5,MX3084,Disaster Risk Reduction and Management,0.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,5,EC3561,VLSI Laboratory,2.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,5,SB3001,Project Based Experiential Learning Program,2.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,6,ET3491,Embedded Systems and IOT Design,4.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,6,CS3491,Artificial Intelligence and Machine Learning,4.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,6,CCW332,Digital Marketing,3.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,6,CEC366,Image Processing,3.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,6,CEC349,RFID System Design and Testing,3.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,6,MX3089,Industrial Safety,0.0
2021 - 2025,2023 - 2024,2021,B.E. Electronics and Communication Engineering,6,NM1001*,4G/5G Communication Networks,2.0
2021 - 2025,2024 - 2025,2021,B.E. Electronics and Communication Engineering,7,GE3791,Human Values and Ethics,2.0
2021 - 2025,2024 - 2025,2021,B.E. Electronics and Communication Engineering,7,GE3752,Total Quality Management,3.0
2021 - 2025,2024 - 2025,2021,B.E. Electronics and Communication Engineering,7,OMR351,Mechatronics,3.0
2021 - 2025,2024 - 2025,2021,B.E. Electronics and Communication Engineering,7,OMR353,Sensors,3.0
2021 - 2025,2024 - 2025,2021,B.E. Electronics and Communication Engineering,7,EC3711,Summer Internship,2.0
2021 - 2025,2024 - 2025,2021,B.E. Electronics and Communication Engineering,7,NM1048*,Quantum computing with black Opal,0.0
2021 - 2025,2024 - 2025,2021,B.E. Electronics and Communication Engineering,8,EC3811,Project Work / Internship,10.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,1,IP3151,Induction Programme,0.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,1,HS3151,Professional English - I,4.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,1,MA3151,Matrices and Calculus,4.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,1,PH3151,Engineering Physics,3.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,1,CY3151,Engineering Chemistry,3.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,1,GE3151,Problem Solving and Python Programming,3.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,1,GE3152,தமிழர்மரபு / Heritage of Tamils,1.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,1,GE3171,Problem Solving and Python Programming Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,1,BS3171,Physics and Chemistry Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,1,GE3172,English Laboratory,1.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,2,HS3251,Professional English - II,4.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,2,MA3251,Statistics and Numerical Methods,4.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,2,PH3251,Materials Science,3.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,2,BE3251,Basic Electrical and Electronics Engineering,3.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,2,GE3251,Engineering Graphics,4.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,2,GE3252,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,2,GE3271,Engineering Practices Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,2,BE3271,Basic Electrical and Electronics Engineering Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Mechanical Engineering,2,GE3272,Communication Laboratory / Foreign Language,2.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,3,MA3351,Transforms and Partial Differential Equations,4.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,3,CE3391,Fluid Mechanics and Machinery,4.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,3,ME3351,Engineering Mechanics,3.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,3,ME3392,Engineering Materials and Metallurgy,3.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,3,ME3393,Manufacturing Processes,3.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,3,ME3391,Engineering Thermodynamics,3.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,3,ME3381,Computer Aided Machine Drawing,2.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,3,ME3382,Manufacturing Technology Laboratory,2.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,3,GE3361,Professional Development,1.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,ME3451,Thermal Engineering,4.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,ME3492,Hydraulics and Pneumatics,3.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,CE3491,Strength of Materials,3.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,ME3491,Theory of Machines,3.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,ME3493,Manufacturing Technology,3.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,GE3451,Environmental Sciences and Sustainability,2.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,CE3481,Strength of Materials and Fluid Machinery Laboratory,2.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,ME3461,Thermal Engineering Laboratory,2.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,SB8024,Block Chain Development,2.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,SB8020,Product Design and Manufacturing - 3D Surface Modelling,2.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,SB8026,Robotic Process Automation Development,2.0
2021 - 2025,2022 - 2023,2021,B.E. Mechanical Engineering,4,SB8025,Digital Marketing,2.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,5,ME3591,Design of Machine Elements,4.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,5,ME3592,Metrology and Measurements,3.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,5,CME364,Energy Storage Devices,3.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,5,CME384,Power Plant Engineering,3.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,5,CME396,Process Planning and Cost Estimation,3.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,5,MX3084,Disaster Risk Reduction and Management,0.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,5,ME3511,Summer Internship,1.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,5,ME3581,Metrology and Dynamics Laboratory,2.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,5,SB3002,Employability Skills: Basics,2.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,6,ME3691,Heat and Mass Transfer,4.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,6,CME344,Product Life Cycle Management,3.0
2021 - 2025,2023 - 2024,2021,B.E. Mechanical Engineering,6,CME380,Automobile Engineering,3.0
